kb_id,title,category,platform,attack_type,tags,severity_min,triggers,summary,steps,what_to_check,escalate_if,references
KB-001,Scheduled Task Persistence Detection,Persistence,Windows,Scheduled Task Creation,"persistence,scheduled_task,lateral_movement",medium,"schtasks.exe,at.exe,TaskScheduler API calls,registry key HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache","Adversary creates scheduled task for persistence or privilege escalation using schtasks.exe or COM objects","1. Identify the account that created the task and verify legitimacy. 2. Review task XML for suspicious triggers (logon/startup/hourly). 3. Analyze the executable path and command-line arguments. 4. Check parent process of schtasks.exe (should be admin tools not cmd.exe/powershell). 5. Correlate with recent authentication events from same user. 6. Search for similar tasks across environment using SIEM query","Task name in \Microsoft\Windows\ root with random names,Task running from temp/public/AppData locations,Base64 encoded commands in task actions,Tasks running as SYSTEM created by non-admin users,Executable paths pointing to webshell locations or writable directories","Task executes known malware hash,Multiple endpoints show identical suspicious tasks within short timeframe,Task created during confirmed compromise window,Command line contains lateral movement tools (psexec/wmic/powershell remoting)","MITRE ATT&CK T1053.005,Microsoft Scheduled Tasks Documentation"
KB-002,LSASS Memory Dumping,Credential Access,Windows,LSASS Credential Dumping,"credentials,mimikatz,procdump,lsass",critical,"Process access to lsass.exe,MiniDumpWriteDump API,comsvcs.dll rundll32,ProcDump execution,Task Manager dump creation","Attacker attempts to dump LSASS process memory to extract credentials including NTLM hashes and Kerberos tickets","1. Identify the process and user that accessed lsass.exe memory. 2. Check if process is legitimate admin tool (ProcDump/Task Manager) or suspicious (rundll32/powershell). 3. Verify if dump file was created and its current location. 4. Review parent process chain for indicators of remote execution. 5. Check for subsequent suspicious authentication attempts from same host. 6. Isolate endpoint immediately if confirmed malicious","Non-admin user accessing lsass.exe,Processes like rundll32.exe comsvcs.dll MiniDump or powershell with sekurlsa,Dump files in unusual locations (%temp%/public folders/web directories),Access from recently compiled executable or script,Network logon immediately before dump attempt","Confirmed dump file exfiltration detected,Multiple privilege escalation attempts follow the dump,Lateral movement to domain controllers within 1 hour of dump,Known APT tool hashes (mimikatz/Invoke-Mimikatz) detected,Admin account compromise confirmed post-dump","MITRE ATT&CK T1003.001,SANS LSASS Protection Guide"
KB-003,AWS IAM Privilege Escalation,Privilege Escalation,Cloud - AWS,IAM Policy Manipulation,"cloud,aws,iam,privilege_escalation",high,"iam:PutUserPolicy,iam:PutGroupPolicy,iam:AttachUserPolicy,iam:CreateAccessKey,iam:UpdateAssumeRolePolicy","Unauthorized modification of IAM policies to grant excessive permissions or create backdoor access","1. Identify the principal (user/role) that made IAM changes via CloudTrail. 2. Review policy changes for overly permissive actions (*:* or admin policies). 3. Check if new access keys were created for compromised accounts. 4. Verify source IP and user-agent against known admin workstations. 5. List all affected users/roles and their current permissions. 6. Search for subsequent resource access using elevated privileges","Policy attachments granting AdministratorAccess or PowerUserAccess,Inline policies with wildcard permissions,Access key creation outside business hours,API calls from unfamiliar IP ranges or countries,Assume role policy modifications allowing external accounts,Rapid succession of IAM changes (automation indicator)","IAM changes followed by data exfiltration (S3 GetObject spike),Cross-account assume role to unknown AWS account,Creation of new IAM users with admin policies,EC2 instance launches in unused regions post-escalation,Deletion of CloudTrail logs or GuardDuty detectors","MITRE ATT&CK T1078.004,AWS IAM Security Best Practices,Rhino Security Labs IAM Privilege Escalation"
KB-004,Web Shell Upload Detection,Initial Access,Web Server,Webshell Deployment,"webshell,iis,apache,nginx,upload",critical,"File creation in web directories,Suspicious file extensions (.aspx/.jsp/.php in uploads),POST requests to recently created files,Outbound connections from web server processes","Attacker uploads web shell to gain remote command execution on web server","1. Identify the uploaded file path and review file contents for web shell signatures. 2. Check web server logs for upload request (POST with file upload). 3. Determine authentication status of uploader (anonymous vs authenticated). 4. Review all HTTP requests to the suspicious file. 5. Check for outbound network connections from w3wp.exe/httpd/nginx. 6. Search for additional files uploaded in same directory or timeframe","Files with double extensions (image.jpg.php),Obfuscated PHP/ASPX code with eval/base64_decode,File names matching known shells (c99.php/b374k/china chopper),Upload directory containing executable code,Web server process spawning cmd.exe/powershell.exe/bash,Requests with suspicious parameters (?cmd=/?action=/pass=)","Web shell confirmed functional via successful command execution,Internal network reconnaissance detected from web server,Privilege escalation or credential dumping on web server host,Data exfiltration from database through web shell,Multiple compromised servers with identical web shells","MITRE ATT&CK T1505.003,OWASP Web Shell Detection,NSA Web Shell Indicators"
KB-005,Supply Chain DLL Injection,Execution,Windows,DLL Side-Loading,"supply_chain,dll_hijacking,sideloading,trusted_binary",high,"Legitimate signed binary loading unsigned DLL,DLL loaded from non-standard path,Known vulnerable applications,Missing DLL search order exploitation","Attacker exploits trusted application to load malicious DLL from writable directory instead of legitimate system DLL","1. Identify the legitimate executable and the suspicious DLL it loaded. 2. Compare DLL path against expected installation directory. 3. Check DLL signature and publisher (should match parent application). 4. Review DLL export functions for malicious capabilities. 5. Search for same DLL name loaded across multiple systems. 6. Investigate how DLL arrived on system (download/lateral movement/USB)","Signed Microsoft/vendor binary loading DLL from temp/public/AppData,DLL version mismatch with expected system DLL,Recent modification timestamp on DLL vs parent executable,Parent process launched from unusual location,DLL missing digital signature when system version is signed,Known hijackable applications (OneDrive/Teams/Zoom) loading unexpected modules","Confirmed malware family associated with DLL hash,Network C2 communication observed from hijacked process,Multiple endpoints exhibiting same DLL loading pattern,DLL persistence mechanism detected (registry/scheduled task),Credential theft or lateral movement follows DLL execution","MITRE ATT&CK T1574.002,LOLBAS DLL Hijacking,Mandiant DLL Side-Loading Report"
KB-006,DNS Tunneling Data Exfiltration,Exfiltration,Network,DNS Tunneling,"exfiltration,dns,tunneling,c2",high,"Excessive DNS queries to single domain,Long DNS subdomain queries (>50 chars),High entropy in DNS requests,Unusual DNS record types (TXT/NULL),Non-standard DNS port usage","Attacker encodes data in DNS queries to exfiltrate information or establish C2 channel bypassing firewall restrictions","1. Identify source host generating suspicious DNS traffic. 2. Extract queried domain and analyze subdomain patterns for Base64/hex encoding. 3. Calculate query volume and frequency from source IP. 4. Check if domain is newly registered or has low reputation. 5. Analyze DNS response sizes and record types. 6. Review recent file access on source host for sensitive data. 7. Capture full DNS session for traffic analysis","Subdomain length >40 characters with random appearance,Query rate >100/min to single domain,High Shannon entropy in subdomains (>3.5),DNS TXT record responses containing large payloads,Queries to domains with short TTL values,Source host has sensitive data access (file servers/databases/domain controllers)","Confirmed sensitive data encoded in DNS queries,Domain infrastructure linked to known APT groups,Multiple internal hosts querying same suspicious domain,Data exfiltration volume exceeds 100MB based on query count,DNS traffic persists after initial blocking (domain generation algorithm)","MITRE ATT&CK T1048.003,SANS DNS Tunneling Detection,Cisco DNS Tunneling Analysis"
KB-007,Malware C2 Beacon Detection,Command and Control,Network,C2 Communication,"c2,beacon,malware,callback",critical,"Periodic outbound connections,Connections to newly registered domains,High-frequency callbacks,SSL certificate anomalies,JA3 hash matches known malware","Malware establishes command and control channel with attacker infrastructure using beacon patterns","1. Identify internal host initiating C2 communication. 2. Analyze connection frequency for beacon intervals (every 60s/5min/hourly). 3. Check destination IP/domain reputation and registration date. 4. Review SSL certificate details for self-signed or suspicious issuers. 5. Examine process establishing connection and parent process chain. 6. Check host for signs of compromise (autoruns/scheduled tasks/services). 7. Capture network traffic for protocol analysis","Connections every fixed interval (60s/300s/3600s) with jitter,Domain registered within last 30 days,SSL certificate with short validity period or mismatched CN,Process is not standard browser/updater,Destination IP in known bullet-proof hosting ranges,User-agent strings not matching OS version,HTTP POST to root path with no GET requests","Malware sample confirmed via endpoint detection,Lateral movement detected from infected host,Data staging or exfiltration observed,Multiple hosts beaconing to same C2 infrastructure,C2 domain linked to active campaign or APT group","MITRE ATT&CK T1071,FireEye C2 Beacon Analysis,Palo Alto C2 Detection Techniques"
KB-008,Linux Privilege Escalation via SUID,Privilege Escalation,Linux,SUID Exploitation,"linux,privilege_escalation,suid,unix",high,"Execution of SUID binaries,Kernel exploit attempts,Sudo misconfiguration abuse,Capability exploitation,SUID binary modification","Attacker exploits SUID/SGID binaries or sudo misconfigurations to escalate from standard user to root privileges","1. Identify which SUID binary was executed and by which user. 2. Check if binary is standard system tool or custom application. 3. Review sudo configuration (/etc/sudoers) for NOPASSWD entries. 4. Check for recent modifications to SUID binaries (find / -perm -4000). 5. Analyze command history for privilege escalation enumeration. 6. Review /var/log/auth.log for sudo attempts and failures. 7. Check if new users were added to sudo/wheel group","SUID binary executed from writable directory (/tmp/var/tmp),Known vulnerable binaries (nmap/vim/find/awk with SUID),Sudo rules allowing shell escapes (vim/less/man NOPASSWD),Recent compilation of exploits (gcc/python in user history),File capabilities granting excessive privileges,Kernel exploits (dirtycow/overlayfs) attempted","Root shell spawned confirmed via process monitoring,New root account created or existing account elevated,Critical system files modified (/etc/passwd/shadow/sudoers),Lateral movement using root credentials,Persistence mechanisms installed (cron/SSH keys/backdoor binaries)","MITRE ATT&CK T1548.001,GTFOBins SUID,Linux Privilege Escalation Guide"
KB-009,Ransomware File Encryption,Impact,Windows,Data Encryption,"ransomware,encryption,impact,file_modification",critical,"High volume file modifications,File extension changes (.locked/.encrypted),Shadow copy deletion,Backup service termination,Ransom note creation","Ransomware encrypts files and demands payment while deleting backups and shadow copies to prevent recovery","1. Identify patient zero host with earliest encryption activity. 2. Isolate affected systems immediately from network. 3. Document ransom note content and file extension used. 4. Check if shadow copies were deleted (vssadmin delete shadows). 5. Verify backup integrity and offline backup availability. 6. Identify ransomware family via note/extension/TTPs. 7. Map lateral movement path to determine entry point. 8. DO NOT pay ransom without executive approval","File modification rate >1000 files/min,Vssadmin.exe delete shadows command,Backup service stopped (Windows Backup/Veeam/Acronis),File extensions changed to .locked/.encrypted/.ransom,Ransom notes (README.txt/HOW_TO_DECRYPT) in directories,Encryption binary executed from temp/AppData,Network shares with massive file modifications","Multiple hosts encrypted simultaneously,Domain controller or backup server encrypted,Critical production systems affected,No viable backups available,Ransomware group known for data exfiltration (double extortion),Decryption key not available from public sources","MITRE ATT&CK T1486,CISA Ransomware Guide,ID Ransomware Database,No More Ransom Project"
KB-010,Backup Deletion and Tampering,Impact,Windows/Linux,Backup Destruction,"backup,deletion,impact,recovery_prevention",critical,"Vssadmin delete shadows,wbadmin delete catalog,bcdedit bootstatuspolicy ignoreallfailures,Backup file deletion,Volume shadow service stopped","Attacker deletes system backups and shadow copies to prevent recovery before deploying ransomware or wiping systems","1. Identify account executing backup deletion commands. 2. Check if VSS service was stopped or disabled. 3. Verify if Windows backup catalog was deleted. 4. Review backup storage locations for file deletions. 5. Check offsite/cloud backup integrity. 6. Determine if bootloader was modified (bcdedit commands). 7. Search for similar activity across environment","Commands: vssadmin delete shadows /all /quiet,wbadmin delete catalog -quiet,bcdedit /set {default} recoveryenabled no,Backup files deleted from network shares or local storage,VSS service disabled via sc config VSS start=disabled,Activity occurs 0-4 hours before ransomware deployment,Executed via PsExec or other lateral movement tools","Backup deletion on multiple critical servers,Domain controller backup compromised,All local and network backup copies deleted,Activity followed by ransomware deployment,No offline or immutable backups exist,Deletion spans multiple backup solutions (Veeam/Commvault/Backup Exec)","MITRE ATT&CK T1490,CISA Backup Security Guidance,Veeam Ransomware Protection"
